,genre,occurence
1632,tollywood,13
1618,thai idol,13
474,drill,13
1756,venezuelan rock,13
492,dutch indie,13
891,kazakh indie,13
1226,pinoy indie,13
1105,new jersey rap,13
1094,neo-singer-songwriter,13
1112,new wave pop,13
1734,underground amapiano,13
1233,pinoy trap,13
1236,pittsburgh rap,13
726,hong kong indie,13
1375,reggae tuga,13
893,kentucky hip hop,13
571,finnish soul,13
1581,swedish tropical house,12
653,german r&b,12
305,classic malaysian pop,12
686,greek underground rap,12
1528,south african trap,12
1786,wave,12
1160,nyc pop,12
1777,visual kei,12
532,estonian electronic,12
1444,sad rap,12
1043,modern reggae,12
1552,sunnlensk tonlist,12
855,japanese emo,12
537,estonian rock,12
33,alternative hip hop,12
837,j-division,12
1330,rap catala,12
1686,turkish edm,12
427,dark trap,12
89,australian talent show,12
819,israeli rock,12
1663,traprun,12
789,indonesian hip hop,12
1407,rumba,12
1239,plugg,12
973,macedonian folk,11
245,chicago drill,11
503,easy listening,11
813,irish singer-songwriter,11
1055,mpb,11
499,dutch trance,11
421,danspunk,11
444,deep talent show,11
835,italo dance,11
1323,rap baiano,11
862,japanese soul,11
16,afro r&b,11
1047,moldovan pop,11
1042,modern indie pop,11
923,kyrgyz hip hop,11
343,contemporary r&b,11
46,arab alternative,11
161,bolobedu house,11
153,birmingham grime,11
797,indonesian pop rock,11
904,kleinkunst,11
606,funana,11
229,cdo indie,11
1475,sheffield indie,11
124,batida,11
311,classic pakistani pop,11
1390,rock kapak,11
1790,world,10
1558,swedish alternative rock,10
714,hindi indie,10
877,k-indie,10
263,chinese electropop,10
1648,trap colombiano,10
831,italian reggae,10
58,argentine telepop,10
171,brazilian edm,10
1054,movie tunes,10
1654,trap metal italiana,10
888,kasi rap,10
1488,singer-songwriter,10
1171,ohio hip hop,10
475,drill brasileiro,10
1198,pagode novo,10
473,drift phonk,10
487,dutch cabaret,10
621,funk viral,10
1331,rap cearense,10
358,crunk,10
626,future house,10
300,classic israeli pop,10
522,electronica,10
637,garage rock,10
403,dancehall queen,10
634,gaming dubstep,10
635,gaming edm,10
1211,paraguayan rock,10
527,emo rap italiano,10
1514,soul,10
448,deep underground hip hop,9
738,hyperpop,9
842,j-pop boy group,9
787,indonesian folk,9
886,karadeniz pop,9
985,malaysian hip hop,9
464,dmv rap,9
1024,mgpjr,9
766,indie folk,9
1322,rap antillais,9
1166,nz hip hop,9
350,country pop,9
620,funk rj,9
159,blues rock,9
774,indie rock,9
1058,musica angolana,9
840,j-pixie,9
1526,south african pop dance,9
607,funk,9
1362,rap siciliano,9
807,instrumental grime,9
114,barnemusikk,9
820,israeli singer-songwriter,9
1384,ritmo kombina,9
704,hardcore hip hop,9
284,classic bollywood,9
386,czech pop rock,9
240,channel pop,9
796,indonesian pop punk,9
1477,shimmer pop,9
160,bolero,8
90,australian trap,8
104,balkan hip hop,8
765,indie electropop,8
100,bachata dominicana,8
1423,russian hyperpop,8
803,industrial metal,8
1353,rap mineiro,8
804,industrial rock,8
1400,romanian house,8
802,industrial,8
603,french rock,8
583,folk brasileiro,8
1745,vallenato moderno,8
585,folk rock,8
55,argentine indie,8
1680,turkce slow sarkilar,8
131,beatlesque,8
1332,rap chileno,8
1628,thai viral pop,8
917,korean trap,8
1502,slovak rock,8
1577,swedish soul,8
663,german viral rap,8
674,gothenburg hip hop,8
1262,pop chileno,8
323,classic uk pop,8
650,german metal,8
1038,modern country rock,8
19,afrofuturismo brasileiro,8
1309,quiet storm,8
1590,syrian pop,8
1591,t-pop girl group,8
1600,taiwanese indie,8
1570,swedish indie pop,8
286,classic cantopop,8
1449,salsa peruana,8
1758,video game music,8
1099,neue deutsche harte,8
1527,south african r&b,8
1272,pop paraguayo,8
1032,mississippi hip hop,8
1314,r&b italiano,8
1542,speedrun,8
1614,thai folk,8
1031,minnesota hip hop,8
889,kavkaz,7
1274,pop punk,7
4,acoustic opm,7
493,dutch indie rock,7
500,dutch trap,7
495,dutch r&b,7
66,asian american hip hop,7
5,acoustic pop,7
1750,vapor twitch,7
488,dutch drill,7
926,lagu jawa,7
1232,pinoy singer-songwriter,7
93,austrian pop,7
460,disco,7
1748,vapor soul,7
441,deep pop edm,7
565,finnish metal,7
564,finnish indie,7
866,javanese dangdut,7
924,la indie,7
18,afrofuturism,7
44,antideutsche,7
485,dutch americana,7
1741,urbano mexicano,7
1333,rap conciencia,7
409,danish electropop,7
693,gruperas inmortales,7
1413,russian dance pop,7
1440,russian viral pop,7
306,classic mandopop,7
241,chanson,7
