,track_id,acousticness,danceability,duration_ms,instrumentalness,key,energy,liveness,loudness,mode,speechiness,tempo,time_signature,valence
2302,1ABRIGG2YqY5uLDLLfIBgx,0.112,0.435,155000,7.25e-05,4,0.828,0.0576,-5.897,0,0.266,93.815,4,0.398
2303,718XWLo3fyDFH5RWp5Q5nN,0.369,0.598,168387,2.62e-06,2,0.603,0.0793,-7.783,1,0.504,93.328,4,0.624
2304,0ur3QPKHUf7RBWsjEq8VyM,0.104,0.825,144466,1.52e-06,7,0.691,0.129,-6.661,1,0.153,102.994,4,0.587
2305,0VfJj7Z3IQjF6lh5DhQYTs,0.312,0.753,146400,0,1,0.625,0.0684,-4.197,0,0.105,99.981,4,0.344
2306,2cXQUlkrLVrfxOJe6wjhJb,0.458,0.675,217539,0.000128,8,0.583,0.202,-6.799,0,0.128,95.908,4,0.446
2307,2wuJWqcn6bJWIJCmb83Yeu,0.423,0.661,214092,0.00165,8,0.734,0.15,-4.356,0,0.157,127.897,5,0.68
2308,6Iqz3QB6zSdn1N61acinau,0.62,0.786,198057,0,0,0.572,0.241,-7.362,1,0.164,100.121,4,0.537
2309,5uSFGgIfHMT3osrAd9n9ym,0.296,0.669,203472,0,1,0.742,0.355,-3.518,0,0.0441,101.982,4,0.716
2310,0H5JKQ7qQ5MBeRSZSieZsM,0.767,0.764,219627,0.0585,4,0.43,0.0843,-9.956,0,0.0594,143.992,4,0.426
2311,0RGpd5zCowfEItCUF7Itpr,0.0292,0.658,223173,0.000107,7,0.725,0.163,-4.604,0,0.0321,128.117,4,0.368
2312,32ujt0CBVLsFyQtAhVk7WN,0.00506,0.624,221150,0,9,0.944,0.313,-5.723,0,0.173,130.092,4,0.362
2313,7akbXwGRPnErndmCs7gKbQ,0.0215,0.654,201641,1.12e-06,1,0.71,0.0688,-6.645,1,0.0311,119.798,4,0.556
2314,5AbP52CPQ5X1x9yJT6uAHE,0.0551,0.698,218240,1.66e-06,9,0.736,0.0921,-7.372,0,0.0353,102.05,4,0.467
2315,5zHwltOissBAu6ZedTFFLW,0.114,0.808,176429,0.379,10,0.892,0.0775,-4.276,0,0.0382,133.984,4,0.901
2316,4miD5oroBLYIpzJXvPgcvX,0.0185,0.614,171280,0,10,0.708,0.125,-7.664,1,0.0327,132.017,4,0.52
2317,5U6DBJXCpgbwDirAYukeHo,0.0906,0.586,225463,0,6,0.711,0.184,-4.792,0,0.0342,146.874,4,0.329
2318,2f3M4kFTnPCncJSjN515fO,0.464,0.502,214461,0.0642,7,0.52,0.0901,-12.369,0,0.0507,145.036,4,0.195
2319,0HPRKUbiCMi379ksDyFbW0,0.00942,0.75,171455,0.000656,8,0.802,0.247,-3.639,0,0.0943,140.05,4,0.643
2320,1i5YqH8ZaHEjqv1wktdVHw,0.238,0.673,203350,0,9,0.6,0.326,-6.944,0,0.0581,105.059,4,0.64
2321,13WaSn6bd7PR7V7pQu9BF9,0.653,0.541,183052,1.43e-06,8,0.389,0.251,-9.048,1,0.0689,167.426,4,0.437
2322,3ykcBY8IyEqv64shOyzWGW,0.122,0.813,148228,0.000169,3,0.705,0.346,-6.394,0,0.0975,128.023,4,0.677
2323,76WsnMaiOG5ky6ENnJjI0r,0.0166,0.751,207570,2.38e-05,0,0.798,0.111,-6.967,1,0.113,145.014,4,0.536
2324,45AnFdNtMvqc6slOLCDMTy,0.0303,0.68,209641,0.00878,4,0.734,0.337,-5.478,0,0.0324,120.065,4,0.315
2325,2G1gCuldjtW9xcN1n1yenB,0.0324,0.704,165633,0.0205,1,0.818,0.356,-4.71,0,0.0318,129.962,4,0.909
2326,2N780yabixU5WBrkTtfwLs,0.124,0.776,171893,3.12e-05,5,0.631,0.0675,-8.071,0,0.101,103.026,4,0.873
2327,5R7l05dglCrUX0qjZ1Eec1,0.13,0.793,193125,0,5,0.694,0.0836,-5.731,0,0.0426,127.971,4,0.484
2328,4qGr8HmRjhdRoUCnLf82eM,0.254,0.817,181333,0,9,0.64,0.197,-4.397,0,0.1,90.011,4,0.398
2329,5cp1Nx2K3FUWIH6Rzt8u33,0.0309,0.779,215600,0.00455,5,0.712,0.0684,-3.921,0,0.0982,98.908,4,0.653
2330,7iwJOi3hlMqZt6pj1sQOBj,0.803,0.759,180673,0.121,0,0.561,0.101,-5.643,0,0.131,104.915,4,0.491
2331,5VOgXIIDg9cyQ3VMXgH3a3,0.754,0.471,245611,7.32e-05,6,0.428,0.111,-12.907,0,0.0397,91.967,4,0.257
2332,1uE7Gln68v4duncYy4QgQm,0.271,0.859,194373,3.03e-05,3,0.671,0.0733,-4.488,0,0.0448,100.022,4,0.938
2333,1GKqff6G0zabRInKN9Vz1S,0.124,0.795,244730,0.000458,11,0.669,0.188,-7.434,0,0.0315,113.982,4,0.54
2334,3TFIDBWstsKUbXBGedJAWO,0.509,0.652,126857,0,11,0.558,0.362,-10.376,0,0.401,139.899,4,0.587
2335,5jXlvpnQwhRmixTZ6oqMo3,0.314,0.76,272515,0,10,0.4,0.108,-11.431,0,0.0699,83.992,4,0.407
2336,0VoGUSTCDyz5855v4S278P,0.51,0.766,198827,1.7e-05,11,0.841,0.148,-3.02,1,0.188,94.993,4,0.64
2337,2BHxg3zP8IdRvvWPVavzqB,0.12,0.755,269231,1.74e-06,6,0.594,0.0666,-7.316,0,0.0422,117.948,4,0.629
2338,1UIVqQ8pqlvoSlPy9esKd6,0.604,0.773,157938,0.000798,6,0.643,0.0913,-7.631,0,0.28,145.912,4,0.493
2339,5q3b86vdmn3itBhsAPHMfd,0.527,0.767,184625,6.17e-06,5,0.848,0.148,-1.135,0,0.216,93.995,4,0.848
